# DL/T 645-2007 Point Table File
# Format: Name,Address,DataID,Scale,Offset,Unit,Precision,Interval,DeadbandValue,DeadbandType
# Address: 12-digit meter number (BCD), e.g. "123456789012"
# DataID: Data identifier (2007: 8-digit like "00010000", 1997: 4-digit like "9010")
#
# Common Data Identifiers (DL/T 645-2007):
# 00010000 - Current positive active total energy
# 00010001 - Current positive active rate 1 energy
# 00010002 - Current positive active rate 2 energy
# 00010003 - Current positive active rate 3 energy
# 00010004 - Current positive active rate 4 energy
# 00020000 - Current reverse active total energy
# 00030000 - Current positive reactive total energy
# 00040000 - Current reverse reactive total energy
# 00090100 - Current voltage (instantaneous)
# 00090200 - Current current (instantaneous)
# 00090300 - Current active power (instantaneous)
# 00090600 - Current power factor (instantaneous)
#
# Scale: Scale factor (0.01 means divide by 100, raw 12345 -> 123.45)
# Offset: Offset added to scaled value
# Unit: Unit like kWh, V, A, kW
# Precision: Decimal places
# Interval: Collection interval (seconds, 0 uses default)
# DeadbandValue: Deadband threshold (0 means disabled)
# DeadbandType: absolute or percent
Name,Address,DataID,Scale,Offset,Unit,Precision,Interval,DeadbandValue,DeadbandType
TAG1,012005011800,00000000,0.01,0,kWh,2,0,0,absolute
TAG2,012005011800,00000100,0.01,0,kWh,2,0,0,absolute
TAG3,012005011800,00000200,0.01,0,kWh,2,0,0,absolute
TAG4,012005011800,00000300,0.01,0,kWh,2,0,0,absolute
TAG5,012005011800,00000400,0.01,0,kWh,2,0,0,absolute
TAG6,012005011800,00000500,0.01,0,kWh,2,0,0,absolute
TAG7,012005011800,00000600,0.01,0,kWh,2,0,0,absolute
TAG8,012005011800,00000700,0.01,0,kWh,2,0,0,absolute
TAG9,012005011800,00000800,0.01,0,kWh,2,0,0,absolute
TAG10,012005011800,00000900,0.01,0,kWh,2,0,0,absolute
TAG11,012005011800,00000A00,0.01,0,kWh,2,0,0,absolute
TAG12,012005011800,00010000,0.01,0,kWh,2,0,0,absolute
TAG13,012005011800,00010100,0.01,0,kWh,2,0,0,absolute
TAG14,012005011800,00010200,0.01,0,kWh,2,0,0,absolute
TAG15,012005011800,00010300,0.01,0,kWh,2,0,0,absolute
TAG16,012005011800,00010400,0.01,0,kWh,2,0,0,absolute
TAG17,012005011800,00010500,0.01,0,kWh,2,0,0,absolute
TAG18,012005011800,00010600,0.01,0,kWh,2,0,0,absolute
TAG19,012005011800,00010700,0.01,0,kWh,2,0,0,absolute
TAG20,012005011800,00010800,0.01,0,kWh,2,0,0,absolute
TAG21,012005011800,00010900,0.01,0,kWh,2,0,0,absolute
TAG22,012005011800,00010A00,0.01,0,kWh,2,0,0,absolute
TAG23,012005011800,00020000,0.01,0,kWh,2,0,0,absolute
TAG24,012005011800,00020100,0.01,0,kWh,2,0,0,absolute
TAG25,012005011800,00020200,0.01,0,kWh,2,0,0,absolute
TAG26,012005011800,00020300,0.01,0,kWh,2,0,0,absolute
TAG27,012005011800,00020400,0.01,0,kWh,2,0,0,absolute
TAG28,012005011800,00020500,0.01,0,kWh,2,0,0,absolute
TAG29,012005011800,00020600,0.01,0,kWh,2,0,0,absolute
TAG30,012005011800,00020700,0.01,0,kWh,2,0,0,absolute
TAG31,012005011800,00020800,0.01,0,kWh,2,0,0,absolute
TAG32,012005011800,00020900,0.01,0,kWh,2,0,0,absolute
TAG33,012005011800,00020A00,0.01,0,kWh,2,0,0,absolute
TAG34,012005011800,00030000,0.01,0,kvarh,2,0,0,absolute
TAG35,012005011800,00030100,0.01,0,kvarh,2,0,0,absolute
TAG36,012005011800,00030200,0.01,0,kvarh,2,0,0,absolute
TAG37,012005011800,00030300,0.01,0,kvarh,2,0,0,absolute
TAG38,012005011800,00030400,0.01,0,kvarh,2,0,0,absolute
TAG39,012005011800,00030500,0.01,0,kvarh,2,0,0,absolute
TAG40,012005011800,00030600,0.01,0,kvarh,2,0,0,absolute
TAG41,012005011800,00030700,0.01,0,kvarh,2,0,0,absolute
TAG42,012005011800,00030800,0.01,0,kvarh,2,0,0,absolute
TAG43,012005011800,00030900,0.01,0,kvarh,2,0,0,absolute
TAG44,012005011800,00030A00,0.01,0,kvarh,2,0,0,absolute
TAG45,012005011800,00040000,0.01,0,kvarh,2,0,0,absolute
TAG46,012005011800,00040100,0.01,0,kvarh,2,0,0,absolute
TAG47,012005011800,00040200,0.01,0,kvarh,2,0,0,absolute
TAG48,012005011800,00040300,0.01,0,kvarh,2,0,0,absolute
TAG49,012005011800,00040400,0.01,0,kvarh,2,0,0,absolute
TAG50,012005011800,00040500,0.01,0,kvarh,2,0,0,absolute
TAG51,012005011800,00040600,0.01,0,kvarh,2,0,0,absolute
TAG52,012005011800,00040700,0.01,0,kvarh,2,0,0,absolute
TAG53,012005011800,00040800,0.01,0,kvarh,2,0,0,absolute
TAG54,012005011800,00040900,0.01,0,kvarh,2,0,0,absolute
TAG55,012005011800,00040A00,0.01,0,kvarh,2,0,0,absolute
TAG56,012005011800,00050000,0.01,0,kvarh,2,0,0,absolute
TAG57,012005011800,00050100,0.01,0,kvarh,2,0,0,absolute
TAG58,012005011800,00050200,0.01,0,kvarh,2,0,0,absolute
TAG59,012005011800,00050300,0.01,0,kvarh,2,0,0,absolute
TAG60,012005011800,00050400,0.01,0,kvarh,2,0,0,absolute
TAG61,012005011800,00050500,0.01,0,kvarh,2,0,0,absolute
TAG62,012005011800,00050600,0.01,0,kvarh,2,0,0,absolute
TAG63,012005011800,00050700,0.01,0,kvarh,2,0,0,absolute
TAG64,012005011800,00050800,0.01,0,kvarh,2,0,0,absolute
TAG65,012005011800,00050900,0.01,0,kvarh,2,0,0,absolute
TAG66,012005011800,00050A00,0.01,0,kvarh,2,0,0,absolute
TAG67,012005011800,00060000,0.01,0,kvarh,2,0,0,absolute
TAG68,012005011800,00060100,0.01,0,kvarh,2,0,0,absolute
TAG69,012005011800,00060200,0.01,0,kvarh,2,0,0,absolute
TAG70,012005011800,00060300,0.01,0,kvarh,2,0,0,absolute
TAG71,012005011800,00060400,0.01,0,kvarh,2,0,0,absolute
TAG72,012005011800,00060500,0.01,0,kvarh,2,0,0,absolute
TAG73,012005011800,00060600,0.01,0,kvarh,2,0,0,absolute
TAG74,012005011800,00060700,0.01,0,kvarh,2,0,0,absolute
TAG75,012005011800,00060800,0.01,0,kvarh,2,0,0,absolute
TAG76,012005011800,00060900,0.01,0,kvarh,2,0,0,absolute
TAG77,012005011800,00060A00,0.01,0,kvarh,2,0,0,absolute
TAG78,012005011800,00070000,0.01,0,kvarh,2,0,0,absolute
TAG79,012005011800,00070100,0.01,0,kvarh,2,0,0,absolute
TAG80,012005011800,00070200,0.01,0,kvarh,2,0,0,absolute
TAG81,012005011800,00070300,0.01,0,kvarh,2,0,0,absolute
TAG82,012005011800,00070400,0.01,0,kvarh,2,0,0,absolute
TAG83,012005011800,00070500,0.01,0,kvarh,2,0,0,absolute
TAG84,012005011800,00070600,0.01,0,kvarh,2,0,0,absolute
TAG85,012005011800,00070700,0.01,0,kvarh,2,0,0,absolute
TAG86,012005011800,00070800,0.01,0,kvarh,2,0,0,absolute
TAG87,012005011800,00070900,0.01,0,kvarh,2,0,0,absolute
TAG88,012005011800,00070A00,0.01,0,kvarh,2,0,0,absolute
TAG89,012005011800,00080000,0.01,0,kvarh,2,0,0,absolute
TAG90,012005011800,00080100,0.01,0,kvarh,2,0,0,absolute
TAG91,012005011800,00080200,0.01,0,kvarh,2,0,0,absolute
TAG92,012005011800,00080300,0.01,0,kvarh,2,0,0,absolute
TAG93,012005011800,00080400,0.01,0,kvarh,2,0,0,absolute
TAG94,012005011800,00080500,0.01,0,kvarh,2,0,0,absolute
TAG95,012005011800,00080600,0.01,0,kvarh,2,0,0,absolute
TAG96,012005011800,00080700,0.01,0,kvarh,2,0,0,absolute
TAG97,012005011800,00080800,0.01,0,kvarh,2,0,0,absolute
TAG98,012005011800,00080900,0.01,0,kvarh,2,0,0,absolute
TAG99,012005011800,00080A00,0.01,0,kvarh,2,0,0,absolute
TAG100,012005011800,00090000,0.01,0,kVAh,2,0,0,absolute
TAG101,012005011800,00090100,0.01,0,kVAh,2,0,0,absolute
TAG102,012005011800,00090200,0.01,0,kVAh,2,0,0,absolute
TAG103,012005011800,00090300,0.01,0,kVAh,2,0,0,absolute
TAG104,012005011800,00090400,0.01,0,kVAh,2,0,0,absolute
TAG105,012005011800,00090500,0.01,0,kVAh,2,0,0,absolute
TAG106,012005011800,00090600,0.01,0,kVAh,2,0,0,absolute
TAG107,012005011800,00090700,0.01,0,kVAh,2,0,0,absolute
TAG108,012005011800,00090800,0.01,0,kVAh,2,0,0,absolute
TAG109,012005011800,00090900,0.01,0,kVAh,2,0,0,absolute
TAG110,012005011800,00090A00,0.01,0,kVAh,2,0,0,absolute
TAG111,012005011800,000A0000,0.01,0,kVAh,2,0,0,absolute
TAG112,012005011800,000A0100,0.01,0,kVAh,2,0,0,absolute
TAG113,012005011800,000A0200,0.01,0,kVAh,2,0,0,absolute
TAG114,012005011800,000A0300,0.01,0,kVAh,2,0,0,absolute
TAG115,012005011800,000A0400,0.01,0,kVAh,2,0,0,absolute
