Name,DeviceAddress,MessageType,SystemType,SystemAddress,ComponentType,ComponentAddr,AnalogType,AddrFormat,Scale,Offset,DeadbandValue,DeadbandType,Description
sys_status_1,800D00000000,1,1,3,,,,1,1,0,,absolute,系统运行状态
sys_fault_1,800D00000000,1,1,4,,,,1,1,0,,absolute,系统故障状态
comp_status_1,800D00000000,2,1,3,30,01000100,,1,1,0,,absolute,部件运行状态
comp_status_2,800D00000000,2,1,3,30,01000101,,1,1,0,,absolute,部件运行状态-备用
comp_status_3,800D00000000,2,1,4,30,01000100,,1,1,0,,absolute,部件运行状态-故障
temp_1,800D00000000,3,1,1,30,01000100,1,1,0.1,0,0.5,absolute,温度传感器
humidity_1,800D00000000,3,1,1,30,01000101,2,1,0.1,0,1.0,absolute,湿度传感器
voltage_1,800D00000000,3,1,1,30,01000102,3,1,0.01,0,1.0,absolute,电压监测
current_1,800D00000000,3,1,1,30,01000103,4,1,0.001,0,0.1,absolute,电流监测
pressure_1,800D00000000,3,1,1,30,01000104,5,1,1.0,0,10.0,absolute,压力传感器
op_info_1,800D00000000,4,1,5,30,01000100,,1,1,0,,absolute,操作信息-部件复位
op_info_2,800D00000000,4,1,5,30,01000101,,1,1,0,,absolute,操作信息-参数设置
sw_version_1,800D00000000,5,1,6,,,,1,1,0,,absolute,传输装置软件版本
tx_device_status_1,800D00000000,6,1,7,,,,1,1,0,,absolute,传输装置工作状态
tx_device_signal_1,800D00000000,6,1,8,,,,1,1,0,,absolute,传输装置信号强度
hist_data_1,800D00000000,7,1,8,,,,1,1,0,,absolute,历史数据索引
soe_event_1,800D00000000,8,1,9,,,,1,1,0,,absolute,SOE事件索引
patrol_data_1,800D00000000,10,1,10,,,,1,1,0,,absolute,巡检数据索引
maint_info_1,800D00000000,11,1,5,,,,1,1,0,,absolute,维护信息
self_test_1,800D00000000,12,1,3,,,,1,1,0,,absolute,自检结果
other_info_1,800D00000000,13,1,1,,,,1,1,0,,absolute,其他信息
