# IEC 60870-5-101 点表配置
# 格式：Name,CA,IOA,TypeID,Scale,Offset,Interval,DeadbandValue,DeadbandType
#
# 单点遥信 (TypeID=1, M_SP_NA_1)：IOA 0x01..0x40 共 64 点，bit-packed
# 测量值归一化 (TypeID=9, M_ME_NA_1)：IOA 0x95..0xF4 共 96 点
# 与 cmd/mocksvr-iec101/main.go 的 buildGI 路径对齐。
Name,CA,IOA,TypeID,Scale,Offset,Interval,DeadbandValue,DeadbandType
breaker_status,1,1,1,1,0,0,0,absolute
switch_status,1,2,1,1,0,0,0,absolute
breaker_position,1,3,1,1,0,0,0,absolute
ground_switch,1,4,1,1,0,0,0,absolute
isolator_status,1,5,1,1,0,0,0,absolute
protection_active,1,6,1,1,0,0,0,absolute
alarm_overcurrent,1,7,1,1,0,0,0,absolute
alarm_overvoltage,1,8,1,1,0,0,0,absolute
alarm_undervoltage,1,9,1,1,0,0,0,absolute
alarm_frequency,1,10,1,1,0,0,0,absolute
trip_main,1,11,1,1,0,0,0,absolute
trip_backup,1,12,1,1,0,0,0,absolute
trip_zone1,1,13,1,1,0,0,0,absolute
trip_zone2,1,14,1,1,0,0,0,absolute
trip_zone3,1,15,1,1,0,0,0,absolute
auto_reclose,1,16,1,1,0,0,0,absolute
manual_close,1,17,1,1,0,0,0,absolute
manual_open,1,18,1,1,0,0,0,absolute
emergency_stop,1,19,1,1,0,0,0,absolute
local_control,1,20,1,1,0,0,0,absolute
remote_control,1,21,1,1,0,0,0,absolute
test_mode,1,22,1,1,0,0,0,absolute
maintenance_mode,1,23,1,1,0,0,0,absolute
battery_low,1,24,1,1,0,0,0,absolute
door_open,1,25,1,1,0,0,0,absolute
fire_alarm,1,26,1,1,0,0,0,absolute
smoke_alarm,1,27,1,1,0,0,0,absolute
water_alarm,1,28,1,1,0,0,0,absolute
intrusion_alarm,1,29,1,1,0,0,0,absolute
tamper_alarm,1,30,1,1,0,0,0,absolute
communication_ok,1,31,1,1,0,0,0,absolute
cpu_ok,1,32,1,1,0,0,0,absolute
memory_ok,1,33,1,1,0,0,0,absolute
power_supply_ok,1,34,1,1,0,0,0,absolute
aux_power_ok,1,35,1,1,0,0,0,absolute
trip_circuit_ok,1,36,1,1,0,0,0,absolute
closing_circuit_ok,1,37,1,1,0,0,0,absolute
spring_charged,1,38,1,1,0,0,0,absolute
sf6_pressure,1,39,1,1,0,0,0,absolute
oil_temperature,1,40,1,1,0,0,0,absolute
winding_temperature,1,41,1,1,0,0,0,absolute
load_current_present,1,42,1,1,0,0,0,absolute
breaker_wear,1,43,1,1,0,0,0,absolute
sf6_density,1,44,1,1,0,0,0,absolute
humidity_alarm,1,45,1,1,0,0,0,absolute
transformer_tap_changing,1,46,1,1,0,0,0,absolute
tap_up,1,47,1,1,0,0,0,absolute
tap_down,1,48,1,1,0,0,0,absolute
tap_blocked,1,49,1,1,0,0,0,absolute
tap_remote,1,50,1,1,0,0,0,absolute
bus_coupler_closed,1,51,1,1,0,0,0,absolute
bus_coupler_open,1,52,1,1,0,0,0,absolute
bus_transfer,1,53,1,1,0,0,0,absolute
parallel_run,1,54,1,1,0,0,0,absolute
anti_pumping,1,55,1,1,0,0,0,absolute
breaker_test,1,56,1,1,0,0,0,absolute
sync_check_ok,1,57,1,1,0,0,0,absolute
dead_bus,1,58,1,1,0,0,0,absolute
live_bus,1,59,1,1,0,0,0,absolute
metering_ok,1,60,1,1,0,0,0,absolute
demand_period,1,61,1,1,0,0,0,absolute
time_sync_ok,1,62,1,1,0,0,0,absolute
irig_b_ok,1,63,1,1,0,0,0,absolute
gps_lock,1,64,1,1,0,0,0,absolute
event_record_full,1,65,1,1,0,0,0,absolute
voltage_a,1,149,9,1,0,0,0,absolute
voltage_b,1,150,9,1,0,0,0,absolute
voltage_c,1,151,9,1,0,0,0,absolute
current_a,1,152,9,1,0,0,0,absolute
current_b,1,153,9,1,0,0,0,absolute
current_c,1,154,9,1,0,0,0,absolute
active_power_a,1,155,9,1,0,0,0,absolute
active_power_b,1,156,9,1,0,0,0,absolute
active_power_c,1,157,9,1,0,0,0,absolute
reactive_power_a,1,158,9,1,0,0,0,absolute
reactive_power_b,1,159,9,1,0,0,0,absolute
reactive_power_c,1,160,9,1,0,0,0,absolute
frequency,1,161,9,1,0,0,0,absolute
power_factor,1,162,9,1,0,0,0,absolute
dc_voltage,1,163,9,1,0,0,0,absolute
dc_current,1,164,9,1,0,0,0,absolute
battery_voltage,1,165,9,1,0,0,0,absolute
temperature_1,1,166,9,1,0,0,0,absolute
temperature_2,1,167,9,1,0,0,0,absolute
temperature_3,1,168,9,1,0,0,0,absolute
transformer_oil_temp,1,169,9,1,0,0,0,absolute
winding_temp,1,170,9,1,0,0,0,absolute
ambient_temp,1,171,9,1,0,0,0,absolute
tap_position,1,172,9,1,0,0,0,absolute
demand_kw,1,173,9,1,0,0,0,absolute
demand_kvar,1,174,9,1,0,0,0,absolute
energy_kwh_export,1,175,9,1,0,0,0,absolute
energy_kwh_import,1,176,9,1,0,0,0,absolute
energy_kvarh,1,177,9,1,0,0,0,absolute
reactive_energy,1,178,9,1,0,0,0,absolute
max_demand,1,179,9,1,0,0,0,absolute
load_pct,1,180,9,1,0,0,0,absolute
vibration_level,1,181,9,1,0,0,0,absolute
pressure_level,1,182,9,1,0,0,0,absolute
flow_rate,1,183,9,1,0,0,0,absolute
humidity,1,184,9,1,0,0,0,absolute
gas_density,1,185,9,1,0,0,0,absolute
sf6_pressure,1,186,9,1,0,0,0,absolute
battery_current,1,187,9,1,0,0,0,absolute
station_battery_v,1,188,9,1,0,0,0,absolute
