Name,IOA,CommonAddress,Type,Interval
breaker_status,16385,1,M_ME_NC_1,0
pump_status,16386,1,M_ME_NC_1,0
valve_status,16387,1,M_ME_NC_1,0
alarm_high,16388,1,M_ME_NC_1,0
alarm_low,16389,1,M_ME_NC_1,0
switch_position,16390,1,M_ME_NC_1,0
energy_active,16391,1,M_ME_NC_1,0
energy_reactive,16392,1,M_ME_NC_1,0
voltage_bus2,16393,1,M_ME_NC_1,0
current_bus2,16394,1,M_ME_NC_1,0
status_bus2,16395,1,M_ME_NC_1,0
status_bus3,16396,1,M_ME_NC_1,0
status_bus4,16397,1,M_ME_NC_1,0
status_bus5,16398,1,M_ME_NC_1,0
status_bus6,16399,1,M_ME_NC_1,0
status_bus7,16400,1,M_ME_NC_1,0
status_bus8,16401,1,M_ME_NC_1,0
status_bus9,16402,1,M_ME_NC_1,0
status_bus10,16403,1,M_ME_NC_1,0
status_bus11,16404,1,M_ME_NC_1,0
status_bus12,1,1,M_SP_NA_1,0
status_bus13,2,1,M_SP_NA_1,0
status_bus14,3,1,M_SP_NA_1,0
status_bus15,4,1,M_SP_NA_1,0
status_bus16,5,1,M_SP_NA_1,0
status_bus17,6,1,M_SP_NA_1,0
status_bus18,7,1,M_SP_NA_1,0
status_bus19,8,1,M_SP_NA_1,0
status_bus20,9,1,M_SP_NA_1,0
status_bus21,10,1,M_SP_NA_1,0
status_bus22,11,1,M_SP_NA_1,0
status_bus23,12,1,M_SP_NA_1,0
status_bus24,13,1,M_SP_NA_1,0
status_bus25,14,1,M_SP_NA_1,0
status_bus26,15,1,M_SP_NA_1,0
status_bus27,16,1,M_SP_NA_1,0
status_bus28,17,1,M_SP_NA_1,0
status_bus29,18,1,M_SP_NA_1,0
status_bus30,19,1,M_SP_NA_1,0
status_bus31,20,1,M_SP_NA_1,0
