Name,Address,Type,DataType,ByteOrder,Scale,Offset,Interval,UnitID,Description
float_001,5050,holding,float32,big,1,0,1000,1,模拟量1
float_002,5052,holding,float32,big,1,0,1000,1,模拟量2
float_003,5054,holding,float32,big,1,0,1000,1,模拟量3
float_004,5056,holding,float32,big,1,0,1000,1,模拟量4
float_005,5058,holding,float32,big,1,0,1000,1,模拟量5
float_006,5060,holding,float32,big,1,0,1000,1,模拟量6
float_007,5062,holding,float32,big,1,0,1000,1,模拟量7
float_008,5064,holding,float32,big,1,0,1000,1,模拟量8
float_009,5066,holding,float32,big,1,0,1000,1,模拟量9
float_010,5068,holding,float32,big,1,0,1000,1,模拟量10
float_011,5070,holding,float32,big,1,0,1000,1,模拟量11
float_012,5072,holding,float32,big,1,0,1000,1,模拟量12
float_013,5074,holding,float32,big,1,0,1000,1,模拟量13
float_014,5076,holding,float32,big,1,0,1000,1,模拟量14
float_015,5078,holding,float32,big,1,0,1000,1,模拟量15
float_016,5080,holding,float32,big,1,0,1000,1,模拟量16
float_017,5082,holding,float32,big,1,0,1000,1,模拟量17
float_018,5084,holding,float32,big,1,0,1000,1,模拟量18
float_019,5086,holding,float32,big,1,0,1000,1,模拟量19
float_020,5088,holding,float32,big,1,0,1000,1,模拟量20
bool_001,5050,coil,bool,big,1,0,1000,1,开关1
bool_002,5051,coil,bool,big,1,0,1000,1,开关2
bool_003,5052,coil,bool,big,1,0,1000,1,开关3
bool_004,5053,coil,bool,big,1,0,1000,1,开关4
bool_005,5054,coil,bool,big,1,0,1000,1,开关5
bool_006,5055,coil,bool,big,1,0,1000,1,开关6
bool_007,5056,coil,bool,big,1,0,1000,1,开关7
bool_008,5057,coil,bool,big,1,0,1000,1,开关8
bool_009,5058,coil,bool,big,1,0,1000,1,开关9
bool_010,5059,coil,bool,big,1,0,1000,1,开关10
bool_011,5060,coil,bool,big,1,0,1000,1,开关11
bool_012,5061,coil,bool,big,1,0,1000,1,开关12
bool_013,5062,coil,bool,big,1,0,1000,1,开关13
bool_014,5063,coil,bool,big,1,0,1000,1,开关14
bool_015,5064,coil,bool,big,1,0,1000,1,开关15
bool_016,5065,coil,bool,big,1,0,1000,1,开关16
bool_017,5066,coil,bool,big,1,0,1000,1,开关17
bool_018,5067,coil,bool,big,1,0,1000,1,开关18
bool_019,5068,coil,bool,big,1,0,1000,1,开关19
bool_020,5069,coil,bool,big,1,0,1000,1,开关20
